(-3.2, 1.3, -9.1)
(0.0, 0.0, 1.0)
(0.0, 1.0, 0.0)
(1.0, 0.0, 0.0)
(-3.2, 1.3, -9.1)
(0.0, 0.0, 1.0)
(0.0, 1.0, 0.0)
(1.0, 0.0, 0.0)
(-3.2, 1.3, -9.1)
(0.0, 0.0, 1.0)
(0.0, 1.0, 0.0)
(1.0, 0.0, 0.0)
(-3.2, 1.3, -9.1)
(0.0, 0.0, 1.0)
(0.0, 1.0, 0.0)
(1.0, 0.0, 0.0)
(-3.2, 1.3, -9.1)
(0.0, 0.0, 1.0)
(0.0, 1.0, 0.0)
(1.0, 0.0, 0.0)
(-3.2, 1.3, -9.1)
(0.0, 0.0, 1.0)
(0.0, 1.0, 0.0)
(1.0, 0.0, 0.0)
(-3.2, 1.3, -9.0)
(0.0, 0.0, 1.0)
(0.0, 1.0, 0.0)
(1.0, 0.0, 0.0)
(-3.2, 1.3, -8.8)
(0.0, 0.0, 1.0)
(0.0, 1.0, 0.0)
(1.0, 0.0, 0.0)
(-3.2, 1.3, -8.5)
(0.0, 0.0, 1.0)
(0.0, 1.0, 0.0)
(1.0, 0.0, 0.0)
(-3.2, 1.3, -8.4)
(0.0, 0.0, 1.0)
(0.0, 1.0, 0.0)
(1.0, 0.0, 0.0)
(-3.2, 1.3, -8.4)
(0.0, 0.0, 1.0)
(0.0, 1.0, 0.0)
(1.0, 0.0, 0.0)
(-3.2, 1.3, -8.4)
(0.0, 0.0, 1.0)
(0.0, 1.0, 0.0)
(1.0, 0.0, 0.0)
(-3.2, 1.3, -8.4)
(0.0, 0.0, 1.0)
(0.0, 1.0, 0.0)
(1.0, 0.0, 0.0)
(-3.2, 1.3, -8.4)
(0.0, 0.0, 1.0)
(0.0, 1.0, 0.0)
(1.0, 0.0, 0.0)
(-3.2, 1.3, -8.4)
(-0.6, -0.3, 0.7)
(-0.2, 0.9, 0.2)
(0.7, 0.0, 0.7)
(-3.2, 1.3, -8.4)
(0.1, -0.6, -0.8)
(0.1, 0.8, -0.6)
(-1.0, 0.0, -0.2)
(-3.2, 1.3, -8.4)
(0.2, -0.6, -0.8)
(0.1, 0.8, -0.6)
(-1.0, 0.0, -0.2)
(-3.1, 1.3, -8.3)
(0.2, -0.6, -0.8)
(0.1, 0.8, -0.6)
(-1.0, 0.0, -0.2)
(-3.0, 1.3, -8.3)
(-0.2, -0.5, -0.9)
(-0.1, 0.9, -0.4)
(-1.0, 0.0, 0.2)
(-3.0, 1.3, -8.4)
(-0.6, -0.2, -0.8)
(-0.1, 1.0, -0.2)
(-0.8, 0.0, 0.6)
(-3.1, 1.3, -8.5)
(-0.6, -0.2, -0.8)
(-0.1, 1.0, -0.2)
(-0.8, 0.0, 0.6)
(-3.4, 1.3, -8.7)
(-0.9, -0.3, -0.3)
(-0.3, 1.0, -0.1)
(-0.3, 0.0, 1.0)
(-3.7, 1.3, -8.7)
(-0.9, -0.3, 0.1)
(-0.3, 1.0, 0.0)
(0.1, 0.0, 1.0)
(-4.0, 1.3, -8.6)
(-0.9, -0.3, 0.3)
(-0.3, 1.0, 0.1)
(0.3, 0.0, 0.9)
(-4.3, 1.3, -8.5)
(-0.9, -0.3, 0.3)
(-0.3, 1.0, 0.1)
(0.3, 0.0, 1.0)
(-4.7, 1.3, -8.5)
(-1.0, -0.2, -0.1)
(-0.2, 1.0, 0.0)
(-0.1, 0.0, 1.0)
(-5.0, 1.3, -8.6)
(-0.9, -0.2, -0.4)
(-0.2, 1.0, -0.1)
