Time,X,Y,Z,Viewazimuth,ViewElevation
4.374395,-3.21,1.388228,-9.11,0,0
4.479585,-3.21,1.279999,-9.11,0,0
4.580558,-3.21,1.279999,-9.11,0,0
4.686903,-3.21,1.279999,-9.11,0,0
4.789131,-3.21,1.279999,-9.11,0,0
4.896171,-3.21,1.279999,-9.11,0,0
4.996696,-3.21,1.279999,-9.11,0,0
5.104727,-3.21,1.279999,-9.11,0,0
5.206934,-3.21,1.279999,-9.11,0,0
5.314234,-3.21,1.279999,-9.11,0,0
5.420636,-3.21,1.279999,-9.11,0,0
5.527111,-3.21,1.279999,-9.11,0,0
5.629344,-3.21,1.279999,-9.11,359.7891,1.784073
5.741277,-3.21,1.279999,-9.11,315.4179,17.45348
5.854621,-3.21,1.279999,-9.11,264.1613,40.97408
5.965847,-3.21,1.279999,-9.11,263.3542,40.97407
6.072286,-3.21,1.279999,-9.11,263.3542,40.97407
6.185185,-3.21,1.279999,-9.11,252.9555,24.88017
6.293868,-3.21,1.279999,-9.11,253.9076,358.238
6.407997,-3.21,1.279999,-9.11,256.282,354.9366
6.510847,-3.21,1.279999,-9.11,265.6454,356.5948
6.639771,-3.263159,1.279999,-9.058889,271.9675,356.5948
6.743037,-3.439205,1.279999,-9.052841,271.9675,357.4876
6.857801,-3.705709,1.279999,-9.043686,271.9675,357.4876
6.98015,-4.080994,1.279999,-9.030794,271.9675,2.93457
7.096782,-4.440559,1.279999,-9.018442,271.9675,7.833835
7.209674,-4.771954,1.279999,-9.007057,271.9675,8.345718
7.316482,-5.093756,1.279999,-8.996002,271.9675,8.345718
7.420703,-5.416046,1.279999,-8.98493,271.9675,8.345718
7.523051,-5.725241,1.279999,-8.974309,271.9675,8.345718
7.640158,-6.079223,1.279999,-8.962148,271.9675,8.345718
7.757546,-6.421837,1.279999,-8.950378,271.9675,8.345718
7.874609,-6.773721,1.279999,-8.93829,271.9675,8.345718
7.986981,-7.12005,1.279999,-8.926393,271.9675,8.345718
8.095876,-7.450577,1.279999,-8.915037,271.9675,8.345718
8.210529,-7.783679,1.279999,-8.903594,271.9675,8.345718
8.318583,-8.108569,1.279999,-8.892433,271.9675,8.345718
8.426857,-8.440546,1.279999,-8.881029,271.9675,8.345718
8.530805,-8.756162,1.279999,-8.870186,271.9675,8.345718
8.634493,-9.06721,1.279999,-8.859501,271.9675,8.345718
8.741244,-9.386222,1.279999,-8.848541,271.9675,8.345718
8.849079,-9.713186,1.279999,-8.837309,271.9675,8.345718
8.951802,-10.02115,1.279999,-8.82673,271.9675,8.345718
9.063833,-10.36434,1.279999,-8.81494,271.9675,8.345718
9.165278,-10.66626,1.279999,-8.804568,271.9675,8.345718
9.269811,-10.97782,1.279999,-8.793865,271.9675,8.345718
9.389606,-11.29327,1.279999,-8.784774,271.2184,8.345718
9.492815,-11.6226,1.279999,-8.779567,270.6069,8.345719
9.600636,-11.9629,1.279999,-8.775962,270.6069,8.345719
9.706074,-12.27755,1.279999,-8.779937,264.8507,10.63643
9.810838,-12.59245,1.279999,-8.817676,261.8342,10.63643
9.924784,-12.93388,1.279999,-8.867334,260.6089,11.05942
10.02955,-13.24815,1.279999,-8.922222,258.4315,12.56394
10.13463,-13.54625,1.279999,-8.998549,252.1746,15.21753
10.24465,-13.85533,1.279999,-9.143119,240.2059,15.21753
10.3579,-14.16374,1.279999,-9.275707,250.6079,11.6842
10.46698,-14.49961,1.279999,-9.220608,262.0813,9.993692
10.56892,-14.82796,1.279999,-9.034802,266.8321,9.993694
10.68296,-15.19128,1.279999,-8.763641,267.2397,9.993692
10.79003,-15.51844,1.279999,-8.616446,267.2397,9.993692
10.89932,-15.85547,1.279999,-8.581368,258.7315,9.993694
11.00362,-16.15264,1.279999,-8.66724,249.7006,9.993692
11.11382,-16.46669,1.279999,-8.786729,249.0597,10.28583
11.21626,-16.75514,1.279999,-8.89711,249.0597,10.28583
11.32868,-17.06077,1.279999,-9.014067,249.0597,10.28583
11.44107,-17.28957,1.279999,-9.226877,191.3113,12.56629
11.54666,-17.3349,1.279999,-9.516104,187.948,12.56629
11.65855,-17.37842,1.414999,-9.827813,187.948,12.56629
11.78612,-17.43137,1.649999,-10.20703,187.948,12.56629
11.90832,-17.45037,1.819999,-10.57196,173.4097,1.083423
12.0241,-17.41049,1.954999,-10.91719,173.4097,0.3208179
12.13273,-17.37193,2.089999,-11.25095,173.4097,0.3208179
12.24017,-17.35646,2.324999,-11.57229,173.4097,355.6158
12.34162,-17.35646,2.459999,-11.87951,174.0463,354.9494
12.46176,-17.35558,2.629999,-12.24313,174.0463,354.9494
12.57996,-17.35558,2.764999,-12.59555,174.0463,354.9494
12.69939,-17.35548,2.971307,-12.94983,174.6512,354.9494
12.81464,-17.34883,3.167787,-13.30209,180.5624,354.9494
12.92573,-17.42739,3.304999,-13.61723,238.7742,353.8609
13.03407,-17.76415,3.304707,-13.59536,299.1937,8.924908
13.14287,-18.0166,3.169999,-13.39982,307.2632,15.72361
13.2655,-18.21122,3.034999,-13.11718,307.2632,15.72361
13.37519,-18.26369,2.895991,-12.73498,350.1876,8.805431
13.48571,-17.85313,2.760499,-12.45334,21.41805,7.517942
13.58624,-17.5669,2.629999,-12.26338,22.01885,7.517941
13.712,-17.39253,2.494999,-11.98383,22.01885,7.517941
13.81275,-17.37939,2.359999,-11.70464,22.01885,7.517941
13.9252,-17.37722,2.224999,-11.38663,22.01885,7.517941
14.04444,-17.38809,2.086546,-11.05695,335.7231,28.10141
14.14681,-17.5524,1.944443,-10.75828,325.3954,28.48524
14.26059,-17.78439,1.819502,-10.51304,310.0509,30.08847
14.36239,-18.01453,1.684999,-10.31958,310.4747,30.08848
14.47093,-18.18677,1.549999,-10.08195,354.5954,18.3787
14.582,-18.17089,1.414999,-9.741486,6.832869,17.71929
14.68816,-18.16153,1.279999,-9.389384,348.7759,6.218935
14.78822,-18.28236,1.279999,-9.110181,341.2301,4.198457
14.89745,-18.52378,1.279999,-8.851317,340.9526,3.920933
14.99895,-18.74746,1.279999,-8.600464,342.2635,3.920933
15.1049,-18.85807,1.279999,-8.299047,349.6542,3.687871
15.20739,-18.88693,1.279999,-7.990814,1.665169,3.900378
15.30763,-18.86835,1.279999,-7.693111,6.424589,4.808568
15.41427,-18.79506,1.279999,-7.378096,9.296499,5.577713
15.5155,-18.63393,1.279999,-7.102893,10.54786,6.33783
15.62451,-18.3521,1.279999,-6.825957,11.08887,7.16503
15.72806,-17.99183,1.279999,-6.575651,11.08887,7.424507
15.84068,-17.62225,1.279999,-6.29771,4.26313,9.72471
15.9428,-17.2882,1.279999,-6.001702,3.140351,9.724708
16.04798,-16.97976,1.279999,-5.671408,352.8939,11.48424
16.15519,-16.87935,1.279999,-5.307663,339.8271,13.3253
16.25701,-16.85006,1.279999,-4.916244,328.7611,14.11148
16.36321,-16.91219,1.279999,-4.571487,315.1868,17.01813
16.46948,-17.12341,1.279999,-4.358995,294.5974,25.66827
16.57046,-17.36446,1.279999,-4.26419,290.2451,28.23709
16.68881,-17.54125,1.279999,-4.203666,290.2451,28.23709
16.79773,-17.61997,1.279999,-4.260663,229.3521,29.88706
16.90469,-17.56833,1.279999,-4.27877,136.9188,27.52286
17.02233,-17.56833,1.279999,-4.27877,111.9114,27.52286
17.13196,-17.56833,1.279999,-4.27877,111.9114,27.52286
17.23861,-17.50783,1.279999,-4.303108,111.9114,27.52286
17.35068,-17.36157,1.279999,-4.396426,143.9319,12.79316
17.46296,-17.23935,1.279999,-4.659793,159.9852,9.182302
17.57332,-17.13201,1.279999,-4.97472,163.9431,8.006663
17.68179,-17.12158,1.279999,-5.294896,200.489,348.9442
17.79456,-17.30492,1.279999,-5.583365,211.6012,345.1832
17.89845,-17.53425,1.279999,-5.808421,211.6012,345.1832
18.00267,-17.70584,1.279999,-6.071609,210.9916,345.7928
18.1102,-17.86257,1.279999,-6.353858,208.8957,353.7851
18.2121,-18.01235,1.279999,-6.620349,209.5351,0.1464793
18.31458,-18.16836,1.279999,-6.882972,211.4267,8.750411
18.42401,-18.32702,1.279999,-7.1579,209.1782,10.13507
18.53034,-18.41995,1.279999,-7.471721,208.1005,10.13507
18.63663,-18.54874,1.279999,-7.783416,208.1005,10.13507
18.74847,-18.70548,1.279999,-8.076953,208.1005,10.13507
18.85218,-18.8747,1.279999,-8.34452,225.0413,6.091592
18.95442,-19.12489,1.279999,-8.520171,239.1216,5.314701
19.0605,-19.43121,1.279999,-8.584373,241.6569,5.314702
19.16609,-19.81705,1.279999,-8.556403,242.7724,5.546569
19.26816,-20.17682,1.279999,-8.548812,242.7724,5.546569
19.36843,-20.47652,1.279999,-8.623939,242.7724,5.546569
19.48118,-20.76401,1.279999,-8.7668,242.5176,5.546569
19.58412,-21.07351,1.279999,-8.854153,241.007,7.289154
19.69614,-21.45286,1.279999,-8.912419,223.1352,14.20234
19.80208,-21.87498,1.279999,-8.985805,211.7114,13.6331
19.91312,-22.32536,1.279999,-9.122145,206.6913,13.35538
20.01547,-22.7411,1.279999,-9.25296,211.9279,8.957981
20.11633,-23.16502,1.279999,-9.341884,211.9449,9.674511
20.22371,-23.54278,1.279999,-9.55556,180.2166,8.614005
20.32677,-23.74758,1.279999,-9.871234,176.8129,8.614002
20.43459,-23.85813,1.279999,-10.19923,180.8247,8.614004
20.53778,-23.91866,1.279999,-10.50316,190.6004,9.613006
20.63942,-23.97486,1.279999,-10.80343,189.3919,9.922205
20.74048,-23.97687,1.279999,-11.10187,171.5526,7.428158
20.8528,-23.90242,1.279999,-11.42594,164.6876,7.428158
20.95741,-23.81438,1.279999,-11.73612,163.9592,7.428158
21.06142,-23.73985,1.279999,-12.04062,171.677,6.870331
21.16802,-23.7106,1.279999,-12.36251,176.3177,6.87033
21.27638,-23.70828,1.279998,-12.68861,182.3018,9.111726
21.37956,-23.72171,1.279998,-12.99821,182.5554,9.111726
21.48499,-23.73546,1.279998,-13.30627,182.5554,9.111726
21.59227,-23.7499,1.279998,-13.62977,182.5554,9.111726
21.69844,-23.76423,1.279998,-13.95088,182.5554,9.111726
21.8063,-23.77883,1.279998,-14.27796,182.5554,9.111726
21.90709,-23.79202,1.279998,-14.5735,182.5554,9.111726
22.00807,-23.80829,1.279998,-14.87616,187.1231,7.696364
22.11291,-23.88509,1.279998,-15.18275,202.9839,6.294104
22.2199,-23.96256,1.279998,-15.51079,214.5015,5.824523
22.32761,-24.02361,1.279998,-15.88313,225.3965,5.391511
22.43024,-24.10995,1.279998,-16.24034,229.7072,5.617094
22.534,-24.32409,1.279998,-16.46859,239.947,6.797645
22.63421,-24.63144,1.279998,-16.53685,243.1671,7.841849
22.73846,-24.99278,1.279998,-16.51307,243.5629,9.30731
22.84377,-25.40334,1.279998,-16.40171,241.7552,11.56558
22.94574,-25.82514,1.279998,-16.31003,234.3866,13.47919
23.04795,-26.25703,1.279998,-16.26177,225.9585,12.17229
23.15717,-26.70964,1.279998,-16.27922,220.4421,11.53302
23.26034,-27.12966,1.279998,-16.37592,205.5258,12.20292
23.36637,-27.43209,1.279998,-16.59488,194.9283,11.99907
23.47245,-27.58994,1.279998,-16.88888,188.1022,11.80327
23.5737,-27.62809,1.279998,-17.18799,179.8025,12.20328
23.67399,-27.60791,1.279998,-17.48584,172.9694,12.40126
23.78224,-27.55019,1.279998,-17.80576,168.1177,13.0294
23.88291,-27.48748,1.279998,-18.10378,168.1177,13.0294
23.98658,-27.42287,1.279998,-18.41088,168.1177,13.0294
24.08964,-27.35898,1.279998,-18.7145,168.1177,13.0294
24.19517,-27.29393,1.279998,-19.02366,168.1177,13.0294
24.29938,-27.22999,1.279998,-19.32754,168.1177,13.0294
24.40197,-27.25702,1.279998,-19.62567,206.89,6.702865
24.50496,-27.38063,1.279998,-19.81698,214.6055,7.319806
24.60927,-27.45791,1.279998,-19.92898,214.6055,7.319806
24.71485,-27.47942,1.279998,-19.96015,214.6055,7.319806
24.81511,-27.47942,1.279998,-19.96015,268.1891,0.2887065
24.92655,-27.47942,1.279998,-19.96015,271.5849,0.6393616
25.02845,-27.47942,1.279998,-19.96015,271.5849,0.6393616
25.1339,-27.48114,1.279998,-19.95937,302.939,358.1237
25.23856,-27.53692,1.279998,-19.91418,310.2671,358.5202
25.342,-27.6627,1.279998,-19.80506,314.176,359.8154
25.44482,-27.81724,1.279998,-19.60115,335.0299,359.9042
25.5555,-27.89976,1.279998,-19.30278,353.2601,359.3538
25.66651,-27.88954,1.279998,-18.96592,353.6984,359.3538
25.78179,-27.89554,1.279998,-18.61558,353.6984,359.3538
25.88825,-27.93068,1.279998,-18.2974,353.6984,359.3538
25.98882,-27.9646,1.279998,-17.99021,353.6984,359.3538
26.0907,-27.97028,1.279998,-17.70291,35.32473,350.3476
26.19953,-27.67473,1.279998,-17.61124,94.18522,353.1088
26.30453,-27.36069,1.279998,-17.63422,94.18522,354.4617
26.4074,-27.05183,1.279998,-17.65682,94.18522,354.4617
26.50781,-26.75107,1.279998,-17.67883,94.18522,354.4617
26.62729,-26.40968,1.279998,-17.70576,95.82669,2.224912
26.72773,-26.15092,1.279998,-17.6491,34.7506,32.80307
26.83372,-26.25721,1.279998,-17.43266,339.0333,21.51231
26.9479,-26.60201,1.279998,-17.41113,335.7063,18.66063
27.05527,-27.0019,1.279998,-17.40435,335.7063,18.66063
27.15675,-27.41809,1.279998,-17.36561,335.7063,18.66063
27.25763,-27.7447,1.279998,-17.16694,335.7063,18.66063
27.37194,-27.99865,1.279998,-16.90302,335.7063,18.66063
27.48545,-28.15026,1.279998,-16.60851,335.7063,18.66063
27.59957,-28.22802,1.279998,-16.25565,340.9397,18.28859
27.70778,-28.19805,1.279998,-15.9463,342.4418,18.28859
27.8092,-28.22027,1.279998,-15.73375,342.4418,18.28859
27.91187,-28.25076,1.279998,-15.63741,342.4418,18.28859
28.02562,-28.25491,1.279998,-15.62428,342.4418,18.28859
28.13525,-28.25491,1.279998,-15.62428,342.4418,18.28859
28.23722,-28.25491,1.279998,-15.62428,342.4418,18.28859
28.35147,-28.25491,1.279998,-15.62428,358.9937,16.81929
28.46758,-28.25491,1.279998,-15.62428,80.71894,9.665509
28.58166,-28.25491,1.279998,-15.62428,99.2736,12.27532
28.69099,-28.25491,1.279998,-15.62428,99.2736,12.27532
28.79467,-28.25491,1.279998,-15.62428,105.3791,11.51213
28.8979,-28.19672,1.279998,-15.62705,84.22909,11.51213
29.00705,-28.03046,1.279998,-15.6055,82.29994,11.51213
29.11066,-27.77186,1.279998,-15.56833,81.37392,11.51213
29.2134,-27.75801,1.279998,-15.5218,80.9464,11.51213
29.32911,-27.75801,1.279998,-15.49088,80.41875,11.51213
29.43426,-27.75553,1.279998,-15.55233,80.41875,11.51213
29.53527,-27.73837,1.279998,-15.69391,80.41875,11.51213
29.65446,-27.30954,1.279998,-15.97241,80.41875,11.51213
29.75849,-26.96738,1.279998,-16.13219,80.41875,11.51213
29.86446,-26.62305,1.279998,-16.19704,80.41875,11.51213
29.96547,-26.3185,1.279998,-16.16703,80.41875,11.51213
30.08183,-25.9752,1.279998,-16.10908,80.41875,11.51213
30.19826,-25.62433,1.279998,-16.06963,88.28044,11.0175
30.31422,-25.27284,1.279998,-16.06294,89.6019,11.0175
30.42863,-24.92722,1.279998,-16.06054,89.6019,11.0175
30.54522,-24.58212,1.279998,-16.05814,89.6019,11.0175
30.64895,-24.32317,1.279998,-16.05634,89.6019,11.0175
30.76642,-24.158,1.279998,-16.05519,89.6019,11.0175
30.86738,-24.10893,1.279998,-16.05485,89.6019,11.0175
30.98218,-24.10893,1.279998,-16.05485,76.53114,336.1195
31.08861,-24.10893,1.279998,-16.05485,79.90629,322.2859
31.20185,-24.10893,1.279998,-16.05485,80.86069,321.9874
31.31229,-24.10893,1.279998,-16.05485,80.86069,321.9874
31.41229,-24.10893,1.279998,-16.05485,80.06596,313.2453
31.51367,-24.10893,1.279998,-16.05485,80.56452,280.8126
31.6167,-24.10893,1.279998,-16.05485,80.86826,279.6343
31.72159,-24.10893,1.279998,-16.05485,81.71253,277.8712
31.82634,-24.10893,1.279998,-16.05485,84.48317,280.3927
31.9291,-24.10893,1.279998,-16.05485,85.79498,284.1795
32.03434,-24.10893,1.279998,-16.05485,86.17224,284.5894
32.14126,-24.10893,1.279998,-16.05485,86.17224,284.5894
32.24174,-24.10893,1.279998,-16.05485,86.17224,284.5894
32.34735,-24.10893,1.279998,-16.05485,86.17224,284.5894
