Time,X,Y,Z,Viewazimuth,ViewElevation
7.416049,-4.21,1.279999,-9.11,0,0
7.554501,-4.516756,1.279999,-9.11,0,0
7.712032,-4.643134,1.279999,-9.11,0,0
7.813261,-4.645976,1.279999,-9.11,0,0
7.922151,-4.645976,1.279999,-9.11,0,0
8.028081,-4.645976,1.279999,-9.11,0,0
8.141942,-4.645976,1.279999,-9.11,0,0
8.244802,-4.645976,1.279999,-9.11,0,0
8.353267,-4.645976,1.279999,-9.11,0,0
8.479043,-4.645976,1.279999,-9.11,0,0
8.58343,-4.645976,1.279999,-9.11,0,0
8.687326,-4.645976,1.279999,-9.11,0,0
8.808322,-4.645976,1.279999,-9.11,0,0
8.916013,-4.645976,1.279999,-9.11,0,0
9.020181,-4.645976,1.279999,-9.11,0,0
9.136334,-4.645976,1.279999,-9.11,0,0
9.237586,-4.645976,1.279999,-9.11,0,0
9.338147,-4.645976,1.279999,-9.11,0,0
9.444743,-4.645976,1.279999,-9.11,0,0
9.556727,-4.645976,1.279999,-9.11,0,0
9.664436,-4.645976,1.279999,-9.11,0,0
9.773732,-4.645976,1.279999,-9.11,0,0
9.890967,-4.645976,1.279999,-9.11,0,0
9.991717,-4.645976,1.279999,-9.11,0,0
10.09615,-4.645976,1.279999,-9.11,0,0
10.19884,-4.645976,1.279999,-9.11,0,0
10.30209,-4.645976,1.279999,-9.11,0,0
10.41109,-4.645976,1.279999,-9.11,0,0
10.51536,-4.645976,1.279999,-9.11,0,0
10.6282,-4.645976,1.279999,-9.11,0,0
10.73401,-4.645976,1.279999,-9.11,0,0
10.84134,-4.645976,1.279999,-9.11,0,0
10.94957,-4.645976,1.279999,-9.11,0,0
11.05285,-4.612191,1.279999,-9.11,0,0
11.16352,-4.467019,1.279999,-9.11,0,0
11.26401,-4.242103,1.279999,-9.11,0,0
11.37986,-3.900258,1.279999,-9.11,0,0
11.48603,-3.581935,1.279999,-9.11,0,0
11.59651,-3.248704,1.279999,-9.11,0,0
11.71266,-2.922877,1.279999,-9.11,0,0
11.81724,-2.720228,1.279999,-9.11,0,0
11.92589,-2.615678,1.279999,-9.11,0,0
12.03621,-2.602686,1.279999,-9.11,0,0
12.14455,-2.602686,1.279999,-9.11,0,0
12.2458,-2.602686,1.279999,-9.11,0,0
12.35295,-2.602686,1.279999,-9.11,0,0
12.45847,-2.602686,1.279999,-9.11,0,0
12.56469,-2.602686,1.279999,-9.11,0,0
12.6657,-2.602686,1.279999,-9.11,0,0
12.77174,-2.602686,1.279999,-9.11,0,0
12.87799,-2.561239,1.279999,-9.11,0,0
12.98292,-2.557363,1.279999,-9.11,0,0
13.0848,-2.557363,1.279999,-9.11,0,0
13.20339,-2.557363,1.279999,-9.11,0,0
13.30517,-2.557363,1.279999,-9.11,0,0
13.40608,-2.557363,1.279999,-9.11,0,0
13.51326,-2.557363,1.279999,-9.11,0,0
13.6136,-2.557363,1.279999,-9.11,0,0
13.7171,-2.557363,1.279999,-9.11,0,0
13.81842,-2.557363,1.279999,-9.11,0,0
13.92576,-2.557363,1.279999,-9.077816,0,0
14.03626,-2.557363,1.279999,-8.936728,0,0
14.14853,-2.557363,1.279999,-8.682943,0,0
14.25011,-2.557363,1.279999,-8.381108,0,0
14.35531,-2.557363,1.279999,-8.067638,0,0
14.45575,-2.557363,1.279999,-7.765302,0,0
14.562,-2.557363,1.279999,-7.49177,0,0
14.6664,-2.557363,1.279999,-7.321808,0,0
14.76682,-2.557363,1.279999,-7.252143,0,0
14.86856,-2.557363,1.279999,-7.248802,0,0
14.97116,-2.557363,1.279999,-7.248802,0,0
15.07409,-2.557363,1.279999,-7.248802,13.81078,85.74241
15.17511,-2.557363,1.279999,-7.248802,63.99554,90
15.28532,-2.557363,1.279999,-7.248802,63.99554,90
15.38825,-2.557363,1.279999,-7.248802,108.3715,90
15.49356,-2.557363,1.279999,-7.248802,113.9779,90
15.5991,-2.557363,1.279999,-7.248802,116.03,90
15.70188,-2.557363,1.279999,-7.248802,118.544,90
15.8128,-2.557363,1.279999,-7.248802,118.544,90
15.91889,-2.557363,1.279999,-7.248802,118.544,90
16.02038,-2.557363,1.279999,-7.248802,119.2351,90
16.12913,-2.557363,1.279999,-7.248802,120.6751,90
16.23332,-2.557363,1.279999,-7.248802,120.6751,90
16.34365,-2.557363,1.279999,-7.248802,120.6751,90
16.44674,-2.557363,1.279999,-7.248802,120.6751,90
16.54752,-2.557363,1.279999,-7.248802,120.6751,90
16.65128,-2.557363,1.279999,-7.248802,120.6751,90
16.75634,-2.557363,1.279999,-7.248802,120.6751,90
16.86473,-2.557363,1.279999,-7.248802,120.6751,90
16.96859,-2.557363,1.279999,-7.248802,120.6751,90
17.06976,-2.557363,1.279999,-7.248802,92.99036,90
17.17461,-2.557363,1.279999,-7.248802,306.6575,90
17.28007,-2.557363,1.279999,-7.248802,306.6575,90
17.38379,-2.557363,1.279999,-7.248802,306.6575,90
17.48752,-2.557363,1.279999,-7.248802,305.1593,90
17.60395,-2.557363,1.279999,-7.248802,307.9612,79.80483
17.71716,-2.557363,1.279999,-7.248802,319.1195,44.93496
17.81751,-2.557363,1.279999,-7.248802,330.6245,22.40445
17.93976,-2.557363,1.279999,-7.248802,330.6245,22.40445
18.04683,-2.557363,1.279999,-7.248802,40.09393,285.726
18.14992,-2.557363,1.279999,-7.248802,62.20971,270
18.25204,-2.557363,1.279999,-7.248802,81.40615,270
18.35418,-2.557363,1.279999,-7.248802,81.40615,270
18.46206,-2.557363,1.279999,-7.248802,81.40615,270
