(-1.2, 2.2, -2.4)
(-0.7, -0.5, -0.5)
(-0.4, 0.9, -0.3)
(-0.6, 0.0, 0.8)
(-2.0, 2.2, -5.1)
(-0.4, -0.2, -0.9)
(-0.1, 1.0, -0.2)
(-0.9, 0.0, 0.5)
(-3.5, 2.2, -6.7)
(-1.0, -0.2, 0.0)
(-0.2, 1.0, 0.0)
(0.0, 0.0, 1.0)
(-7.4, 2.8, -4.7)
(-0.9, -0.3, 0.1)
(-0.3, 1.0, 0.0)
(0.1, 0.0, 1.0)
(-14.4, 2.2, -5.0)
(-0.7, -0.4, -0.6)
(-0.3, 0.9, -0.3)
(-0.7, 0.0, 0.8)
(-17.5, 2.2, -6.1)
(0.8, -0.2, -0.6)
(0.1, 1.0, -0.1)
(-0.6, 0.0, -0.8)
(-16.8, 2.2, -7.1)
(0.9, -0.3, 0.2)
(0.3, 0.9, 0.1)
(0.2, 0.0, -1.0)
(-15.2, 2.2, -8.2)
(0.9, -0.3, 0.1)
(0.3, 0.9, 0.0)
(0.1, 0.0, -1.0)
(-11.6, 2.2, -9.1)
(1.0, -0.3, 0.0)
(0.3, 1.0, 0.0)
(0.0, 0.0, -1.0)
(-6.1, 2.2, -8.4)
(0.8, -0.3, 0.5)
(0.3, 1.0, 0.1)
(0.5, 0.0, -0.9)
(-4.2, 2.2, -7.7)
(-0.6, -0.5, 0.6)
(-0.3, 0.9, 0.3)
(0.7, 0.0, 0.7)
(-5.6, 2.2, -5.0)
(-1.0, -0.2, -0.2)
(-0.2, 1.0, 0.0)
(-0.2, 0.0, 1.0)
(-10.9, 2.2, -5.4)
(-0.9, -0.4, -0.2)
(-0.4, 0.9, -0.1)
(-0.2, 0.0, 1.0)
(-18.8, 2.2, -5.8)
(-0.2, -0.4, -0.9)
(-0.1, 0.9, -0.4)
(-1.0, 0.0, 0.2)
(-18.0, 3.2, -8.0)
(0.9, -0.4, 0.2)
(0.4, 0.9, 0.1)
(0.2, 0.0, -1.0)
(-17.9, 2.9, -7.0)
(0.9, -0.4, 0.1)
(0.4, 0.9, 0.1)
(0.1, 0.0, -1.0)
(-14.7, 3.5, -6.9)
(0.9, -0.4, 0.1)
(0.4, 0.9, 0.1)
(0.1, 0.0, -1.0)
(-16.0, 2.8, -9.6)
(0.9, -0.4, 0.0)
(0.4, 0.9, 0.0)
(0.0, 0.0, -1.0)
(-8.3, 2.5, -9.8)
(0.9, -0.4, 0.0)
(0.4, 0.9, 0.0)
(0.0, 0.0, -1.0)
(-5.5, 2.2, -6.9)
(-0.4, -0.3, 0.9)
(-0.1, 0.9, 0.3)
(0.9, 0.0, 0.4)
(-4.6, 2.2, -7.2)
(0.5, -0.3, 0.8)
(0.1, 1.0, 0.2)
(0.9, 0.0, -0.5)
(-2.5, 2.2, -4.9)
(0.5, -0.3, -0.8)
(0.2, 1.0, -0.3)
(-0.8, 0.0, -0.5)
(-3.5, 2.2, -6.4)
(-0.7, -0.3, 0.6)
(-0.2, 1.0, 0.2)
(0.7, 0.0, 0.7)
(-6.8, 2.2, -5.3)
(-1.0, -0.2, 0.1)
(-0.2, 1.0, 0.0)
(0.1, 0.0, 1.0)
(-7.0, 2.2, -5.3)
(-1.0, -0.1, 0.2)
(-0.1, 1.0, 0.0)
(0.2, 0.0, 1.0)
(-7.0, 2.2, -5.3)
(-1.0, -0.1, 0.2)
(-0.1, 1.0, 0.0)
(0.2, 0.0, 1.0)
(-7.0, 2.2, -5.3)
(0.0, 1.0, 0.0)
(0.1, 0.0, -1.0)
(1.0, 0.0, 0.1)
