Time,X,Y,Z,Viewazimuth,ViewElevation
2.905739,-1.19,2.15,-2.38,233.9862,27.87265
3.907669,-1.965979,2.15,-5.089636,207.4807,13.43321
4.92037,-3.512914,2.15,-6.697362,271.769,13.18352
5.923062,-7.373077,2.766986,-4.708562,277.4706,16.88816
6.951983,-14.44633,2.15,-5.044254,229.2883,26.70241
7.963015,-17.50484,2.15,-6.116229,127.2352,10.5767
8.987736,-16.8004,2.15,-7.097636,80.75222,18.22398
10.00181,-15.21859,2.15,-8.216486,85.84285,20.20393
11.02158,-11.64925,2.15,-9.06833,92.7991,14.83904
12.02372,-6.138651,2.15,-8.437495,61.07686,17.14382
13.02543,-4.211277,2.15,-7.730406,313.1968,27.5991
14.04273,-5.628133,2.15,-4.970311,255.6703,10.91975
15.05767,-10.92556,2.15,-5.38666,257.8746,21.68445
16.06548,-18.75254,2.15,-5.812463,189.5442,21.68445
17.07142,-18.01917,3.230448,-8.018415,79.96619,21.68445
18.07507,-17.90771,2.923555,-7.013589,82.05473,23.73517
19.08242,-14.65949,3.536909,-6.861314,82.05473,23.73517
20.08472,-16.00537,2.824581,-9.561345,90.01871,23.73517
21.0933,-8.256232,2.548549,-9.827151,90.01871,23.73517
22.10703,-5.467187,2.15,-6.884163,336.2408,20.18751
23.13006,-4.631427,2.15,-7.153301,31.73333,15.79946
24.13339,-2.503278,2.15,-4.921835,148.0283,18.01937
25.14808,-3.466987,2.15,-6.391444,312.0898,14.52738
26.16091,-6.79014,2.15,-5.286938,273.8281,10.94855
27.17108,-6.985906,2.15,-5.273547,281.1009,8.535355
28.17565,-6.985906,2.15,-5.273547,281.1009,8.535355
29.17666,-6.985906,2.15,-5.273547,355.296,270
