(-1.2, 2.2, -2.4)
(0.0, 0.0, 1.0)
(0.0, 1.0, 0.0)
(1.0, 0.0, 0.0)
(-1.2, 2.2, -2.4)
(0.0, 0.0, 1.0)
(0.0, 1.0, 0.0)
(1.0, 0.0, 0.0)
(-1.2, 2.2, -2.4)
(1.0, -0.1, -0.3)
(0.1, 1.0, 0.0)
(-0.3, 0.0, -1.0)
(-1.2, 2.2, -2.4)
(0.2, -0.1, -1.0)
(0.0, 1.0, -0.1)
(-1.0, 0.0, -0.2)
(-1.2, 2.2, -2.6)
(-0.3, -0.2, -0.9)
(-0.1, 1.0, -0.2)
(-1.0, 0.0, 0.3)
(-1.8, 2.2, -4.1)
(-0.8, -0.2, -0.6)
(-0.2, 1.0, -0.1)
(-0.6, 0.0, 0.8)
(-1.6, 2.2, -4.6)
(-0.9, -0.3, -0.4)
(-0.2, 1.0, -0.1)
(-0.4, 0.0, 0.9)
(-3.0, 2.7, -6.5)
(-1.0, -0.3, 0.1)
(-0.3, 1.0, 0.0)
(0.1, 0.0, 1.0)
(-3.6, 2.2, -6.5)
(-1.0, -0.3, 0.1)
(-0.3, 1.0, 0.0)
(0.1, 0.0, 1.0)
(-4.7, 2.2, -5.5)
(-0.9, -0.3, 0.1)
(-0.3, 1.0, 0.0)
(0.2, 0.0, 1.0)
(-4.7, 2.2, -5.1)
(-0.9, -0.3, 0.1)
(-0.3, 1.0, 0.0)
(0.1, 0.0, 1.0)
(-6.5, 2.2, -5.1)
(-1.0, 0.0, 0.0)
(0.0, 1.0, 0.0)
(0.0, 0.0, 1.0)
(-9.1, 2.2, -5.1)
(-0.9, -0.4, 0.0)
(-0.4, 0.9, 0.0)
(0.0, 0.0, 1.0)
(-11.6, 2.2, -5.1)
(-0.9, 0.5, 0.0)
(0.5, 0.9, 0.0)
(0.0, 0.0, 1.0)
(-14.2, 2.2, -5.1)
(-1.0, 0.0, -0.1)
(0.0, 1.0, 0.0)
(-0.1, 0.0, 1.0)
(-16.6, 2.2, -4.7)
(-0.7, -0.2, -0.7)
(-0.1, 1.0, -0.1)
(-0.7, 0.0, 0.7)
(-18.7, 2.7, -5.3)
(0.7, -0.4, -0.5)
(0.3, 0.9, -0.2)
(-0.6, 0.0, -0.8)
(-18.0, 2.2, -6.3)
(0.7, -0.4, -0.5)
(0.3, 0.9, -0.2)
(-0.6, 0.0, -0.8)
(-17.1, 2.2, -7.9)
(0.9, -0.4, 0.3)
(0.4, 0.9, 0.1)
(0.3, 0.0, -0.9)
(-17.1, 2.2, -7.4)
(0.9, -0.5, 0.1)
(0.5, 0.9, 0.0)
(0.1, 0.0, -1.0)
(-17.1, 2.2, -6.6)
(1.0, -0.1, 0.1)
(0.1, 1.0, 0.0)
(0.1, 0.0, -1.0)
(-15.5, 2.9, -6.8)
(1.0, 0.0, 0.1)
(0.0, 1.0, 0.0)
(0.1, 0.0, -1.0)
(-14.8, 3.4, -6.8)
(1.0, -0.3, 0.0)
(0.3, 1.0, 0.0)
(0.0, 0.0, -1.0)
(-14.8, 3.4, -6.8)
(0.0, -0.2, -1.0)
(0.0, 1.0, -0.2)
(-1.0, 0.0, 0.0)
(-14.8, 3.4, -6.8)
(-0.3, -0.2, 0.9)
(-0.1, 1.0, 0.2)
(0.9, 0.0, 0.3)
(-14.8, 3.4, -6.8)
(-1.0, -0.2, -0.1)
(-0.2, 1.0, 0.0)
(-0.1, 0.0, 1.0)
(-14.8, 3.4, -6.8)
(0.9, -0.1, 0.4)
(0.1, 1.0, 0.1)
(0.4, 0.0, -0.9)
(-14.8, 3.4, -6.8)
(-0.4, -0.1, 0.9)
(-0.1, 1.0, 0.1)
(0.9, 0.0, 0.4)
(-14.8, 3.4, -6.8)
(0.8, -0.1, -0.6)
(0.1, 1.0, -0.1)
(-0.6, 0.0, -0.8)
(-14.8, 3.4, -6.8)
(-0.9, -0.1, -0.3)
(-0.1, 1.0, 0.0)
(-0.3, 0.0, 0.9)
(-15.9, 2.6, -6.9)
(-0.8, -0.3, -0.5)
(-0.3, 0.9, -0.2)
(-0.5, 0.0, 0.9)
(-17.0, 2.2, -9.2)
(0.8, -0.4, -0.5)
(0.3, 0.9, -0.2)
(-0.6, 0.0, -0.8)
(-15.3, 2.8, -9.2)
(0.9, -0.4, 0.1)
(0.4, 0.9, 0.0)
(0.1, 0.0, -1.0)
(-13.9, 2.2, -8.9)
(0.9, -0.4, 0.1)
(0.4, 0.9, 0.1)
(0.2, 0.0, -1.0)
(-11.3, 2.2, -8.9)
(0.9, -0.4, 0.3)
(0.4, 0.9, 0.1)
(0.3, 0.0, -1.0)
(-7.8, 2.2, -9.1)
(0.4, -0.4, 0.8)
(0.2, 0.9, 0.4)
(0.9, 0.0, -0.4)
(-5.7, 2.2, -9.2)
(-0.2, -0.2, 0.9)
(-0.1, 1.0, 0.2)
(1.0, 0.0, 0.2)
(-5.5, 2.2, -8.8)
(-0.3, -0.2, 0.9)
(-0.1, 1.0, 0.2)
(1.0, 0.0, 0.3)
(-4.1, 2.2, -8.2)
(-0.4, -0.3, 0.9)
(-0.1, 1.0, 0.2)
(0.9, 0.0, 0.4)
(-4.1, 2.2, -8.2)
(-0.6, -0.3, 0.8)
(-0.2, 1.0, 0.2)
(0.8, 0.0, 0.6)
(-5.1, 2.2, -7.1)
(-0.7, -0.3, 0.7)
(-0.2, 1.0, 0.2)
(0.7, 0.0, 0.7)
(-5.3, 2.2, -7.0)
(-0.2, -0.9, 0.4)
(-0.5, 0.
