Time,X,Y,Z,Viewazimuth,ViewElevation
2.140678,-1.19,2.198228,-2.38,0,0
2.245926,-1.19,2.15,-2.38,0,0
2.35548,-1.19,2.15,-2.38,0,0
2.458268,-1.19,2.15,-2.38,0,0
2.559837,-1.19,2.15,-2.38,333.0114,3.250784
2.663841,-1.19,2.15,-2.38,316.4863,1.720748
2.764731,-1.19,2.15,-2.38,316.4863,1.720748
2.86953,-1.19,2.15,-2.38,302.4127,7.541787
2.970459,-1.19,2.15,-2.38,186.5474,35.11585
3.077964,-1.192233,2.15,-2.40558,184.9894,35.11585
3.179378,-1.205634,2.15,-2.559078,184.9894,35.11585
3.279997,-1.232613,2.15,-2.86811,184.9894,35.11585
3.384148,-1.273941,2.15,-3.341491,184.9894,35.11585
3.488338,-1.319036,2.15,-3.858026,184.9894,35.11585
3.590687,-1.360989,2.15,-4.338575,184.9894,35.11585
3.692627,-1.393937,2.15,-4.715975,184.9894,35.11585
3.794543,-1.456866,2.15,-4.928582,184.9894,35.11585
3.900907,-1.590017,2.15,-4.973891,184.9894,35.11585
4.002706,-1.598855,2.15,-4.973119,184.9894,35.11585
4.105696,-1.598855,2.15,-4.973119,184.9894,35.11585
4.211125,-1.600201,2.15,-4.988542,184.9894,35.11585
4.314065,-1.613497,2.15,-5.140846,184.9894,35.11585
4.426853,-1.672904,2.15,-5.2947,184.9894,35.11585
4.531847,-1.934634,2.15,-5.492272,184.9894,35.11585
4.637757,-2.032252,2.15,-5.854023,184.9894,35.11585
4.748557,-2.048572,2.15,-6.040963,184.9894,35.11585
4.852154,-2.0568,2.15,-6.135208,184.9894,35.11585
4.955171,-2.0568,2.15,-6.135208,184.9894,35.11585
5.055259,-2.0568,2.15,-6.135208,191.3663,29.74659
5.155385,-2.0568,2.15,-6.135208,217.4412,13.23387
5.255733,-2.0568,2.15,-6.135208,232.0874,7.955283
5.356828,-2.0568,2.15,-6.135208,232.6135,7.429176
5.465723,-2.060647,2.15,-6.138148,232.6135,7.145052
